,precision,recall,f1-score,support
[access permission denied exception],1.0,1.0,1.0,4.0
[file moving program],1.0,1.0,1.0,5.0
[login failure],0.9996763754045307,1.0,0.9998381615148082,3089.0
[memory_anomalies],0.9716312056737588,0.9856115107913669,0.9785714285714285,139.0
[normal memory freed label],0.0,0.0,0.0,4.0
accuracy,0.9981487195310089,0.9981487195310089,0.9981487195310089,0.9981487195310089
macro avg,0.7942615162156579,0.7971223021582734,0.7956819180172474,3241.0
weighted avg,0.9972406853481172,0.9981487195310089,0.9976925360970907,3241.0
