,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],0,0,0,3,0
[file moving program],0,9,0,4,0
[login failure],0,0,3087,0,0
[memory_anomalies],0,1,0,135,0
[normal memory freed label],0,0,0,2,0
