,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],3,0,0,0,0
[file moving program],1,10,0,0,1
[login failure],0,0,3100,0,2
[memory_anomalies],0,0,0,115,3
[normal memory freed label],0,0,0,6,0
