,precision,recall,f1-score,support
[access permission denied exception],0.75,1.0,0.8571428571428571,3.0
[file moving program],1.0,0.8333333333333334,0.9090909090909091,12.0
[login failure],1.0,0.9993552546744036,0.999677523379555,3102.0
[memory_anomalies],0.9504132231404959,0.9745762711864406,0.9623430962343097,118.0
[normal memory freed label],0.0,0.0,0.0,6.0
accuracy,0.995988892317186,0.995988892317186,0.995988892317186,0.995988892317186
macro avg,0.7400826446280993,0.7614529718388355,0.745650877169526,3241.0
weighted avg,0.9961119285191542,0.995988892317186,0.9960002105398171,3241.0
