,precision,recall,f1-score,support
[access permission denied exception],0.75,1.0,0.8571428571428571,3.0
[file moving program],0.52,1.0,0.6842105263157895,13.0
[login failure],1.0,1.0,1.0,3087.0
[memory_anomalies],0.9838709677419355,0.8970588235294118,0.9384615384615386,136.0
[normal memory freed label],0.0,0.0,0.0,2.0
accuracy,0.9950632520826905,0.9950632520826905,0.9950632520826905,0.9950632520826905
macro avg,0.6507741935483871,0.7794117647058824,0.695962984384037,3241.0
weighted avg,0.9965493525494921,0.9950632520826905,0.9954017076964835,3241.0
