,precision,recall,f1-score,support
[access permission denied exception],1.0,1.0,1.0,3.0
[file moving program],1.0,1.0,1.0,13.0
[login failure],1.0,1.0,1.0,3087.0
[memory_anomalies],0.9854014598540146,0.9926470588235294,0.989010989010989,136.0
[normal memory freed label],0.0,0.0,0.0,2.0
accuracy,0.9990743597655045,0.9990743597655045,0.9990743597655045,0.9990743597655045
macro avg,0.797080291970803,0.7985294117647059,0.7978021978021979,3241.0
weighted avg,0.9987703173527139,0.9990743597655045,0.9989217817048733,3241.0
