,precision,recall,f1-score,support
dbservice1,0.11764705882352941,0.13333333333333333,0.125,15.0
dbservice2,0.0967741935483871,0.15789473684210525,0.12000000000000001,19.0
logservice1,0.0,0.0,0.0,14.0
logservice2,0.1111111111111111,0.07692307692307693,0.09090909090909093,13.0
mobservice1,0.9025198938992043,0.8707613563659629,0.886356235753826,1563.0
mobservice2,0.8736842105263158,0.9050673508659397,0.8890989287964713,1559.0
redisservice1,0.1,0.09090909090909091,0.09523809523809525,11.0
redisservice2,0.25,0.08333333333333333,0.125,12.0
webservice1,0.4117647058823529,0.4117647058823529,0.4117647058823529,17.0
webservice2,0.3125,0.2777777777777778,0.29411764705882354,18.0
accuracy,0.8614625115705029,0.8614625115705029,0.8614625115705029,0.8614625115705029
macro avg,0.31760011737909005,0.3007764762232973,0.303748470363866,3241.0
weighted avg,0.8622292929278615,0.8614625115705029,0.8613571679584775,3241.0
