,precision,recall,f1-score,support
[access permission denied exception],0.2727272727272727,1.0,0.42857142857142855,3.0
[file moving program],1.0,0.8333333333333334,0.9090909090909091,6.0
[login failure],1.0,0.9974201870364399,0.998708427510494,3101.0
[memory_anomalies],0.9375,0.46875,0.625,128.0
[normal memory freed label],0.0,0.0,0.0,3.0
accuracy,0.9753162604134527,0.9753162604134527,0.9753162604134527,0.9753162604134527
macro avg,0.6420454545454545,0.6599007040739547,0.5922741530345663,3241.0
weighted avg,0.9959327929090349,0.9753162604134527,0.9823310994909911,3241.0
