,precision,recall,f1-score,support
[access permission denied exception],0.75,1.0,0.8571428571428571,3.0
[file moving program],1.0,1.0,1.0,6.0
[login failure],1.0,1.0,1.0,3101.0
[memory_anomalies],0.9767441860465116,0.984375,0.980544747081712,128.0
[normal memory freed label],0.0,0.0,0.0,3.0
accuracy,0.9984572662758407,0.9984572662758407,0.9984572662758407,0.9984572662758407
macro avg,0.7453488372093023,0.796875,0.7675375208449139,3241.0
weighted avg,0.9979244849780787,0.9984572662758407,0.9981737600116901,3241.0
