,precision,recall,f1-score,support
[access permission denied exception],1.0,1.0,1.0,3.0
[file moving program],1.0,1.0,1.0,13.0
[login failure],1.0,0.9996760609005507,0.9998380042118904,3087.0
[memory_anomalies],0.9782608695652174,0.9926470588235294,0.9854014598540147,136.0
[normal memory freed label],0.0,0.0,0.0,2.0
accuracy,0.9987658130206726,0.9987658130206726,0.9987658130206726,0.9987658130206726
macro avg,0.7956521739130434,0.7984646239448161,0.797047892813181,3241.0
weighted avg,0.998470681351703,0.9987658130206726,0.9986160189886615,3241.0
