,precision,recall,f1-score,support
dbservice1,0.11764705882352941,0.13333333333333333,0.125,15.0
dbservice2,0.2222222222222222,0.3,0.25531914893617025,20.0
logservice1,0.08333333333333333,0.07142857142857142,0.07692307692307691,14.0
logservice2,0.0,0.0,0.0,13.0
mobservice1,0.908843537414966,0.854766474728087,0.8809759314210353,1563.0
mobservice2,0.8651275820170109,0.9134060295060936,0.8886115444617784,1559.0
redisservice1,0.0,0.0,0.0,11.0
redisservice2,0.1111111111111111,0.08333333333333333,0.09523809523809525,12.0
webservice1,0.3333333333333333,0.29411764705882354,0.3125,17.0
webservice2,0.3333333333333333,0.35294117647058826,0.34285714285714286,17.0
accuracy,0.8580684973773527,0.8580684973773527,0.8580684973773527,0.8580684973773527
macro avg,0.29749515115888403,0.300332656585883,0.29774249398372993,3241.0
weighted avg,0.8606290752867148,0.8580684973773527,0.8585785292360586,3241.0
