,precision,recall,f1-score,support
dbservice1,0.13636363636363635,0.2,0.16216216216216214,15.0
dbservice2,0.2777777777777778,0.2631578947368421,0.27027027027027023,19.0
logservice1,0.14285714285714285,0.07142857142857142,0.09523809523809523,14.0
logservice2,0.125,0.07692307692307693,0.09523809523809525,13.0
mobservice1,0.8676737160120845,0.9187460012795905,0.8924798011187073,1563.0
mobservice2,0.9085985104942451,0.8608082103912764,0.8840579710144928,1559.0
redisservice1,0.3333333333333333,0.09090909090909091,0.14285714285714288,11.0
redisservice2,0.05555555555555555,0.08333333333333333,0.06666666666666667,12.0
webservice1,0.4117647058823529,0.4117647058823529,0.4117647058823529,17.0
webservice2,0.125,0.1111111111111111,0.11764705882352941,18.0
accuracy,0.8636223387843258,0.8636223387843258,0.8636223387843258,0.8636223387843258
macro avg,0.33839243782761286,0.3088181995995246,0.3138381969271514,3241.0
weighted avg,0.8630702442591737,0.8636223387843258,0.8623327299381,3241.0
