,precision,recall,f1-score,support
[access permission denied exception],0.0009256402344955261,1.0,0.0018495684340320594,3.0
[file moving program],0.0,0.0,0.0,9.0
[login failure],0.0,0.0,0.0,3096.0
[memory_anomalies],0.0,0.0,0.0,130.0
[normal memory freed label],0.0,0.0,0.0,3.0
accuracy,0.0009256402344955261,0.0009256402344955261,0.0009256402344955261,0.0009256402344955261
macro avg,0.0001851280468991052,0.2,0.0003699136868064119,3241.0
weighted avg,8.568098437169325e-07,0.0009256402344955261,1.7120349589929584e-06,3241.0
