,precision,recall,f1-score,support
dbservice1,0.006170934896636841,1.0,0.012266176019625883,20.0
dbservice2,0.0,0.0,0.0,12.0
logservice1,0.0,0.0,0.0,17.0
logservice2,0.0,0.0,0.0,13.0
mobservice1,0.0,0.0,0.0,1543.0
mobservice2,0.0,0.0,0.0,1576.0
redisservice1,0.0,0.0,0.0,11.0
redisservice2,0.0,0.0,0.0,16.0
webservice1,0.0,0.0,0.0,16.0
webservice2,0.0,0.0,0.0,17.0
accuracy,0.006170934896636841,0.006170934896636841,0.006170934896636841,0.006170934896636841
macro avg,0.000617093489663684,0.1,0.0012266176019625882,3241.0
weighted avg,3.808043749853033e-05,0.006170934896636841,7.569377364779933e-05,3241.0
