,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],3,0,0,0,0
[file moving program],9,0,0,0,0
[login failure],3096,0,0,0,0
[memory_anomalies],130,0,0,0,0
[normal memory freed label],3,0,0,0,0
