variant,task,classifier,n_folds_ok,_time_sec_mean,_time_sec_std,f1_access_perm_mean,f1_access_perm_std,f1_file_moving_mean,f1_file_moving_std,f1_login_failure_mean,f1_login_failure_std,f1_memory_anomalies_mean,f1_memory_anomalies_std,f1_normal_mem_freed_mean,f1_normal_mem_freed_std,macro_f1_mean,macro_f1_std,f1_dbservice1_mean,f1_dbservice1_std,f1_dbservice2_mean,f1_dbservice2_std,f1_logservice1_mean,f1_logservice1_std,f1_logservice2_mean,f1_logservice2_std,f1_mobservice1_mean,f1_mobservice1_std,f1_mobservice2_mean,f1_mobservice2_std,f1_redisservice1_mean,f1_redisservice1_std,f1_redisservice2_mean,f1_redisservice2_std,f1_webservice1_mean,f1_webservice1_std,f1_webservice2_mean,f1_webservice2_std,hr_1_mean,hr_1_std,hr_3_mean,hr_3_std,ndcg_3_mean,ndcg_3_std
full_graph,FTI,GaussianNB,5,0.7052488803863526,0.06988955907739083,0.6933333333333334,0.15549205052920803,0.38073886639676113,0.17156152768985788,0.9963698535561297,0.0008120505511138742,0.8576720534176129,0.08143700643221526,0.0,0.0,0.5856228213407675,0.07056036121520833,,,,,,,,,,,,,,,,,,,,,,,,,,
full_graph,FTI,DecisionTree,5,15.17045454978943,2.4658509595236096,0.8457142857142858,0.15815260003540627,0.8539682539682539,0.14033038797016092,0.9987728227080546,0.0005653957117305303,0.9399254905101874,0.015293621925490698,0.0,0.0,0.7276761705801563,0.0576419449814461,,,,,,,,,,,,,,,,,,,,,,,,,,
full_graph,FTI,KNN,5,1.6220316886901855,0.08130530218599738,0.7247619047619047,0.128638430513547,0.5373348873348873,0.21451914994266913,0.9996770534364398,0.00010191238773694094,0.9572497483298648,0.01747693190747139,0.0,0.0,0.6438047187726192,0.052358911482724826,,,,,,,,,,,,,,,,,,,,,,,,,,
full_graph,FTI,RandomForest,5,4.191974115371704,0.12106006229199212,0.7666666666666666,0.2,0.9818181818181818,0.036363636363636376,0.9999029803707249,7.921648034478575e-05,0.9771367840295945,0.006056515784208543,0.0,0.0,0.7451049225770336,0.03633586512291726,,,,,,,,,,,,,,,,,,,,,,,,,,
full_graph,FTI,LogReg,5,81.48550786972046,18.84858646063641,0.8047619047619048,0.19541223360650659,0.7999299397920087,0.05477543282308168,0.9989012016147705,0.0005340451344877856,0.9385739981286342,0.019032487746505136,0.0,0.0,0.7084334088594636,0.05070665402795923,,,,,,,,,,,,,,,,,,,,,,,,,,
full_graph,FTI,LightGBM,5,37.39975152015686,2.2475643317591807,0.9047619047619048,0.13127665478181164,0.9658181818181818,0.03353350366079566,0.9999029906820155,7.920821018765228e-05,0.9801215122401874,0.005175764296799423,0.0,0.0,0.7701209179004579,0.025626848762163354,,,,,,,,,,,,,,,,,,,,,,,,,,
full_graph,RCL,GaussianNB,5,1.8426756858825684,0.03188307904884225,,,,,,,,,,,0.32091088307216,0.03787697303116557,0.20284798534798534,0.0818592832284007,0.16967304163044528,0.1407015672835931,0.17566118342934506,0.06566435102567823,0.11984995396760104,0.04742669958853239,0.8909754658249127,0.0022217100515199155,0.8907870942795431,0.0032135888340034456,0.06105263157894737,0.08055211145140628,0.1688117745256889,0.015758562126942235,0.2522638322415853,0.18753538921429877,0.2771858678955453,0.06876731129695977,0.8608454180808393,0.0031646729786999122,0.9696390003085469,0.0016396581617508779,0.9176870461798264,0.0035860266134461172
full_graph,RCL,DecisionTree,5,23.2669460773468,0.5168577893338518,,,,,,,,,,,0.292710483440214,0.004400351233802922,0.19963853254175834,0.06981803463677347,0.19212642350809248,0.07527858175415707,0.06506832298136646,0.06415349441793623,0.046866096866096864,0.03838337525642473,0.8889222671286593,0.006314405382074405,0.8901502039519018,0.00790135112691429,0.13465959328028293,0.092517487402356,0.08676190476190476,0.05108207792178443,0.1742016806722689,0.09773929313773116,0.2487098087098087,0.06970169906324555,0.8624498611539648,0.006721505117773574,0.9688984881209501,0.0017821078775925468,0.8796953613951949,0.005887294017465615
full_graph,RCL,KNN,5,3.2257027626037598,0.12482530492388011,,,,,,,,,,,0.273298217580589,0.009124556999791611,0.1396454535873594,0.044527453273520534,0.24148209082262095,0.0325195217725074,0.09249105605927196,0.02883072415171691,0.14177777777777778,0.053386066145137634,0.8635065501302108,0.0070672045848092025,0.863171968320558,0.008039083932232299,0.025,0.05000000000000001,0.059893048128342244,0.07610886363489709,0.15344280240831965,0.07956583785027611,0.15257142857142858,0.038926175840080665,0.8364702252391236,0.006948812470353205,0.9701326751002778,0.0007657928815791978,0.9152848150634417,0.0024616843373132732
full_graph,RCL,RandomForest,5,7.452875328063965,0.13960704494614143,,,,,,,,,,,0.2855398229150688,0.015908860982254584,0.18212128689273838,0.08760763785123458,0.18540286285148996,0.01705716120441192,0.10426151688423779,0.08605003704575338,0.08494983277591973,0.09534060630152152,0.8855019292423509,0.0022363283513710803,0.8879836725982203,0.0024969625756175247,0.0,0.0,0.0,0.0,0.2499815973500184,0.1615341637560148,0.27519553055571205,0.09843719213967164,0.8596112311015119,0.0018717372277819342,0.9703795124961431,0.002914092922707226,0.9290506136214052,0.002469717099156217
