task,variant,classifier,macro_f1_mean,macro_f1_std,f1_access_perm_mean,f1_file_moving_mean,f1_memory_anomalies_mean,f1_normal_mem_freed_mean,f1_login_failure_mean,f1_webservice1_mean,f1_webservice2_mean,f1_dbservice1_mean,f1_dbservice2_mean,f1_logservice1_mean,f1_logservice2_mean,f1_redisservice1_mean,f1_redisservice2_mean,minority_avg
FTI,full_graph,GaussianNB,0.5848196566319662,0.0725734501944253,0.6933333333333334,0.3804572767409159,0.8541981387649576,0.0,0.9961095343206242,,,,,,,,,
FTI,full_graph,DecisionTree,0.6825196147130217,0.044890150372039216,0.7119047619047618,0.7661830582035185,0.9356083428271482,0.0,0.9989019106296805,,,,,,,,,
FTI,full_graph,KNN,0.6259648219009005,0.040676752534309725,0.6266666666666666,0.5467150496562261,0.9567331180649976,0.0,0.9997092751166118,,,,,,,,,
FTI,full_graph,RandomForest,0.7550199643047216,0.025338963417793257,0.8266666666666665,0.9714285714285713,0.9771016030576453,0.0,0.9999029803707249,,,,,,,,,
FTI,full_graph,LogReg,0.7401651521644539,0.052224694031117125,0.8714285714285716,0.8673260073260073,0.9370866044877701,0.026666666666666665,0.9983179109132536,,,,,,,,,
FTI,full_graph,LightGBM,0.7707516579434037,0.03163954159281321,0.9047619047619048,0.9666666666666668,0.9824267276064317,0.0,0.9999029906820155,,,,,,,,,
FTI,root_cause_only,GaussianNB,0.46669001766663526,0.03102179959089023,0.38456259426847667,0.38140003089349894,0.5807670668960784,0.0,0.9867203962751223,,,,,,,,,
FTI,root_cause_only,DecisionTree,0.4784000806240525,0.0537920185990635,0.27142857142857146,0.22707946336429305,0.8966643000307475,0.0,0.9968280682966505,,,,,,,,,
FTI,root_cause_only,KNN,0.5006309140866689,0.05589282713829826,0.31111111111111106,0.27238095238095233,0.9207941143490223,0.0,0.9988683925922587,,,,,,,,,
FTI,root_cause_only,RandomForest,0.4918778538545796,0.09148757638351397,0.32999999999999996,0.19272727272727272,0.9389929531479739,0.0,0.9976690433976516,,,,,,,,,
FTI,root_cause_only,LogReg,0.4967158691043747,0.060950246774053966,0.3827505827505827,0.23005565955472357,0.8124329620690179,0.0644122383252818,0.9939279028222672,,,,,,,,,
FTI,root_cause_only,LightGBM,0.5030562782185093,0.057144853110117,0.3188888888888889,0.2704761904761905,0.9284418526170178,0.0,0.9974744591104491,,,,,,,,,
RCL,full_graph,GaussianNB,,,,,,,,0.25713780472401165,0.27396825396825397,0.16444444444444442,0.16876079933889265,0.17179500891265598,0.10877085877085876,0.0654970760233918,0.1379693426538353,0.16854294860454302
RCL,full_graph,DecisionTree,,,,,,,,0.24666510931366617,0.22924966374881484,0.12666312245259612,0.13254764819024306,0.10709742351046699,0.09963369963369964,0.049333333333333326,0.07377591973244148,0.1331207399894077
RCL,full_graph,KNN,,,,,,,,0.1728020434227331,0.1601265240395675,0.1701796914849619,0.21747573920714877,0.07409579550883899,0.05243892339544513,0.0,0.07019607843137254,0.1146643494362585
RCL,full_graph,RandomForest,,,,,,,,0.260339558573854,0.28752461799660445,0.2288933964390354,0.23125712586551125,0.11134000099517341,0.06407881773399016,0.023529411764705882,0.021052631578947368,0.15350194511847773
RCL,full_graph,LogReg,,,,,,,,0.2186111111111111,0.19612156755773774,0.16008085600612842,0.1647435420712197,0.11918504190844618,0.1078962703962704,0.07602813852813853,0.11777502067824648,0.14505519353216229
RCL,full_graph,LightGBM,,,,,,,,0.21724941724941726,0.2069920275802629,0.22462380393414874,0.1656330014224751,0.1350815850815851,0.02,0.01818181818181818,0.03705263157894737,0.12810178562858185
RCL,root_cause_only,GaussianNB,,,,,,,,0.9767676767676768,0.9774244833068362,0.9870967741935484,0.9828571428571429,1.0,1.0,0.9904761904761905,1.0,0.9893277834501744
RCL,root_cause_only,DecisionTree,,,,,,,,0.9774228774228775,0.977067977067977,0.6638712336455155,0.9945945945945945,0.9251371237458195,0.9753043478260869,0.9737805383022774,1.0,0.9358973365756434
RCL,root_cause_only,KNN,,,,,,,,0.9878787878787879,0.975,0.77212185399291,0.9945945945945945,1.0,1.0,0.9904761904761905,1.0,0.9650089283678104
RCL,root_cause_only,RandomForest,,,,,,,,0.9939393939393939,0.9245339885339885,0.7385734668961359,0.9945945945945945,1.0,1.0,0.9904761904761905,1.0,0.955264704305038
RCL,root_cause_only,LogReg,,,,,,,,0.9885339885339886,0.9824733824733825,0.6764290783873401,0.9945945945945945,1.0,1.0,0.9904761904761905,1.0,0.954063404308187
RCL,root_cause_only,LightGBM,,,,,,,,0.9875,0.9834130781499202,0.6811952925653191,0.9945945945945945,1.0,1.0,0.9904761904761905,1.0,0.954647394473253
