variant,task,classifier,n_folds_ok,_time_sec_mean,_time_sec_std,f1_access_perm_mean,f1_access_perm_std,f1_file_moving_mean,f1_file_moving_std,f1_login_failure_mean,f1_login_failure_std,f1_memory_anomalies_mean,f1_memory_anomalies_std,f1_normal_mem_freed_mean,f1_normal_mem_freed_std,macro_f1_mean,macro_f1_std,f1_dbservice1_mean,f1_dbservice1_std,f1_dbservice2_mean,f1_dbservice2_std,f1_logservice1_mean,f1_logservice1_std,f1_logservice2_mean,f1_logservice2_std,f1_mobservice1_mean,f1_mobservice1_std,f1_mobservice2_mean,f1_mobservice2_std,f1_redisservice1_mean,f1_redisservice1_std,f1_redisservice2_mean,f1_redisservice2_std,f1_webservice1_mean,f1_webservice1_std,f1_webservice2_mean,f1_webservice2_std,hr_1_mean,hr_1_std,hr_3_mean,hr_3_std,ndcg_3_mean,ndcg_3_std
full_graph,FTI,GaussianNB,5,0.6931189060211181,0.09972278135677573,0.6933333333333334,0.15549205052920803,0.3804572767409159,0.14032621458710384,0.9961095343206242,0.00044771551007644024,0.8541981387649576,0.10247619064631022,0.0,0.0,0.5848196566319662,0.0725734501944253,,,,,,,,,,,,,,,,,,,,,,,,,,
full_graph,FTI,DecisionTree,5,16.442510318756103,2.897078860141356,0.7119047619047618,0.1587222220237996,0.7661830582035185,0.10625873964043338,0.9989019106296805,0.0006483294496525491,0.9356083428271482,0.022690998418998465,0.0,0.0,0.6825196147130217,0.044890150372039216,,,,,,,,,,,,,,,,,,,,,,,,,,
full_graph,FTI,KNN,5,1.6088688373565674,0.10245458347926861,0.6266666666666666,0.11430952132988166,0.5467150496562261,0.17321941720841696,0.9997092751166118,6.475877414839152e-05,0.9567331180649976,0.016372686835488755,0.0,0.0,0.6259648219009005,0.040676752534309725,,,,,,,,,,,,,,,,,,,,,,,,,,
full_graph,FTI,RandomForest,5,4.201644706726074,0.062004266718711044,0.8266666666666665,0.14966629547095767,0.9714285714285713,0.05714285714285716,0.9999029803707249,7.921648034478575e-05,0.9771016030576453,0.007615175755543514,0.0,0.0,0.7550199643047216,0.025338963417793257,,,,,,,,,,,,,,,,,,,,,,,,,,
full_graph,FTI,LogReg,5,79.17967581748962,14.78642197026799,0.8714285714285716,0.19378085666072195,0.8673260073260073,0.04900677281645428,0.9983179109132536,0.0001266959196755443,0.9370866044877701,0.008535076607961068,0.026666666666666665,0.05333333333333333,0.7401651521644539,0.052224694031117125,,,,,,,,,,,,,,,,,,,,,,,,,,
full_graph,FTI,LightGBM,5,36.5301812171936,0.3906809170564207,0.9047619047619048,0.13127665478181164,0.9666666666666668,0.06666666666666667,0.9999029906820155,7.920821018765228e-05,0.9824267276064317,0.004909036854012876,0.0,0.0,0.7707516579434037,0.03163954159281321,,,,,,,,,,,,,,,,,,,,,,,,,,
full_graph,RCL,GaussianNB,5,1.6984923839569093,0.07526386826521717,,,,,,,,,,,0.3132450070441851,0.041383812457813626,0.16444444444444442,0.07913999829293653,0.16876079933889265,0.13490922139962389,0.17179500891265598,0.06395812879283794,0.10877085877085876,0.04298470784560911,0.8923242229301737,0.003657183364438173,0.891782258675333,0.003945109052782713,0.0654970760233918,0.08833313491695534,0.1379693426538353,0.021862181088807317,0.25713780472401165,0.19248329943347084,0.27396825396825397,0.0637581724984543,0.8615859302684357,0.004528810399730652,0.970009256402345,0.0024326323164982422,0.9184954363842508,0.003944845442826671
full_graph,RCL,DecisionTree,5,24.755070877075195,0.8801114773227041,,,,,,,,,,,0.28512482801457306,0.027435233200203114,0.12666312245259612,0.09104404919406113,0.13254764819024306,0.07380649943887575,0.10709742351046699,0.03978611448458176,0.09963369963369964,0.07440136650466267,0.8928576470342204,0.0058228050457380665,0.8934247131962492,0.00574842395616867,0.049333333333333326,0.06634589495799854,0.07377591973244148,0.04071649487478812,0.24666510931366617,0.16379542538124933,0.22924966374881484,0.04717618448492949,0.8657204566491823,0.0038110207112976155,0.9687750694230175,0.0021677467535020484,0.8826289486204782,0.0033449525308514175
full_graph,RCL,KNN,5,3.252944898605347,0.06127637445744553,,,,,,,,,,,0.26551852690798766,0.005604406327744382,0.1701796914849619,0.029806512437417058,0.21747573920714877,0.04750752947453964,0.07409579550883899,0.05636227109901734,0.05243892339544513,0.04308718608398916,0.8678212023679533,0.005779802205075422,0.8700492712218558,0.00802586401919473,0.0,0.0,0.07019607843137254,0.05827720153179584,0.1728020434227331,0.08410836693033337,0.1601265240395675,0.05165108817630935,0.8417155199012651,0.006608953155441079,0.9694538722616477,0.0007301548636963563,0.9171156402642223,0.0021071110671406685
full_graph,RCL,RandomForest,5,7.346359395980835,0.08368382794483815,,,,,,,,,,,0.30211184764576204,0.01738694480395236,0.2288933964390354,0.0922060782464245,0.23125712586551125,0.07891247260011366,0.11134000099517341,0.0948852552758672,0.06407881773399016,0.06326693174081094,0.8968046025000509,0.0035341179443683654,0.8962983130097474,0.005279328141816053,0.023529411764705882,0.047058823529411764,0.021052631578947368,0.04210526315789473,0.260339558573854,0.1521228322811699,0.28752461799660445,0.06842983627113791,0.8697315643319963,0.00401537759580314,0.9709966059858068,0.0030482169787666674,0.9330413422212089,0.002846789911371354
full_graph,RCL,LogReg,5,310.02231059074404,2.744159161256751,,,,,,,,,,,0.29475686162340203,0.01679989451125983,0.16008085600612842,0.07293873298835184,0.1647435420712197,0.03405357819794232,0.11918504190844618,0.07274312825869896,0.1078962703962704,0.052688162150170983,0.893583658452342,0.0045852833900663316,0.8935434095243796,0.0061885005393825755,0.07602813852813853,0.04566022318123157,0.11777502067824648,0.10411948123357129,0.2186111111111111,0.09245285752315895,0.19612156755773774,0.06361067480874623,0.8610305461277384,0.0050458478486293465,0.9703178031471769,0.0024090368770062444,0.9292640447705764,0.002139282077596813
full_graph,RCL,LightGBM,5,95.6479323387146,2.463846955056042,,,,,,,,,,,0.28164889970078055,0.027497510020934424,0.22462380393414874,0.10354553223613987,0.1656330014224751,0.054190150643308926,0.1350815850815851,0.1557889270605113,0.02,0.04,0.8960533803931815,0.00415230412715172,0.8956213315859692,0.005183225822451433,0.01818181818181818,0.03636363636363636,0.03705263157894737,0.04607785775260447,0.21724941724941726,0.09710408475114278,0.2069920275802629,0.0621341339899944,0.8704103671706264,0.004003981042272959,0.9703795124961431,0.0014206559004284356,0.9329102245160252,0.0019469709925256592
root_cause_only,FTI,GaussianNB,5,0.09718918800354004,0.008274316108290295,0.38456259426847667,0.11243907276358378,0.38140003089349894,0.13545791978811741,0.9867203962751223,0.0009993950801104455,0.5807670668960784,0.03060236919268693,0.0,0.0,0.46669001766663526,0.03102179959089023,,,,,,,,,,,,,,,,,,,,,,,,,,
root_cause_only,FTI,DecisionTree,5,1.3754806995391846,0.09686956611009205,0.27142857142857146,0.24074713637646739,0.22707946336429305,0.07599935303354469,0.9968280682966505,0.0005922204174595574,0.8966643000307475,0.014524347161698998,0.0,0.0,0.4784000806240525,0.0537920185990635,,,,,,,,,,,,,,,,,,,,,,,,,,
root_cause_only,FTI,KNN,5,0.2321223258972168,0.021966570715543785,0.31111111111111106,0.18790593916986403,0.27238095238095233,0.069881662201311,0.9988683925922587,0.0007008700445059273,0.9207941143490223,0.028846030785424467,0.0,0.0,0.5006309140866689,0.05589282713829826,,,,,,,,,,,,,,,,,,,,,,,,,,
root_cause_only,FTI,RandomForest,5,1.5835034847259521,0.0386553055763614,0.32999999999999996,0.3682390527904394,0.19272727272727272,0.1365130494574651,0.9976690433976516,0.0011807918874740823,0.9389929531479739,0.017648605781316846,0.0,0.0,0.4918778538545796,0.09148757638351397,,,,,,,,,,,,,,,,,,,,,,,,,,
root_cause_only,FTI,LogReg,5,35.21671781539917,0.9981762967567955,0.3827505827505827,0.24484358490118174,0.23005565955472357,0.11294549218643607,0.9939279028222672,0.0022891355191838707,0.8124329620690179,0.03526872369501849,0.0644122383252818,0.07930818149627766,0.4967158691043747,0.060950246774053966,,,,,,,,,,,,,,,,,,,,,,,,,,
root_cause_only,FTI,LightGBM,5,4.764892625808716,0.1526807446905388,0.3188888888888889,0.28690773670766717,0.2704761904761905,0.14625793387011404,0.9974744591104491,0.0007444686745131696,0.9284418526170178,0.008084155944982125,0.0,0.0,0.5030562782185093,0.057144853110117,,,,,,,,,,,,,,,,,,,,,,,,,,
root_cause_only,RCL,GaussianNB,5,0.31770992279052734,0.011520137382547561,,,,,,,,,,,0.9909884018750601,0.0037787184721146975,0.9870967741935484,0.0158031596308592,0.9828571428571429,0.0342857142857143,1.0,0.0,1.0,0.0,0.9975122041118836,0.0008868758853066268,0.9977495470373233,0.0008870183624037177,0.9904761904761905,0.019047619047619067,1.0,0.0,0.9767676767676768,0.021091528300829398,0.9774244833068362,0.021784665351937217,0.9972847886454798,0.0008595117727358161,0.9995063252082691,0.00031465717455060496,0.9987251124784386,0.0003739988282872667
root_cause_only,RCL,DecisionTree,5,2.736603879928589,0.0849582438082165,,,,,,,,,,,0.9481464556004265,0.014778613102414797,0.6638712336455155,0.06190352040342288,0.9945945945945945,0.010810810810810787,0.9251371237458195,0.07530456528540477,0.9753043478260869,0.02020387580028885,0.9970507449365653,0.0007165043848657069,0.9972351184625508,0.0009240128717839077,0.9737805383022774,0.02154359304199459,1.0,0.0,0.9774228774228775,0.020911820911820915,0.977067977067977,0.011559232605652631,0.9940759024992285,0.001399047707344007,0.9954952175254551,0.0011643296676404442,0.9947635980860061,0.001098856093223114
root_cause_only,RCL,KNN,5,0.6820269107818604,0.028775779636058724,,,,,,,,,,,0.9714939215419258,0.01821969662819003,0.77212185399291,0.1628695474859012,0.9945945945945945,0.010810810810810787,1.0,0.0,1.0,0.0,0.9974985792796425,0.0007721025678621242,0.9973692091971327,0.00037699209230681544,0.9904761904761905,0.019047619047619067,1.0,0.0,0.9878787878787879,0.014845392380504098,0.975,0.03061862178478973,0.995988892317186,0.0013519840975135123,0.9972847886454798,0.0009235809655720894,0.9967466467868162,0.0010311619730071638
root_cause_only,RCL,RandomForest,5,2.208817148208618,0.05321470202082786,,,,,,,,,,,0.9637365596881067,0.0077944168022797125,0.7385734668961359,0.13380205592560865,0.9945945945945945,0.010810810810810787,1.0,0.0,1.0,0.0,0.997562538148917,0.0008286394525295098,0.9976854242918451,0.0008962146487200682,0.9904761904761905,0.019047619047619067,1.0,0.0,0.9939393939393939,0.01212121212121211,0.9245339885339885,0.12294156286831978,0.9951866707806232,0.0013177510955916483,0.9962357297130515,0.0007143373590120665,0.9957192798366906,0.0008759113211437377
root_cause_only,RCL,LogReg,5,1.9947266101837158,0.04872376492224132,,,,,,,,,,,0.9627754783305436,0.00828984811379802,0.6764290783873401,0.0738176959156879,0.9945945945945945,0.010810810810810787,1.0,0.0,1.0,0.0,0.997562538148917,0.0008286394525295098,0.9976850106910243,0.000941611233762444,0.9904761904761905,0.019047619047619067,1.0,0.0,0.9885339885339886,0.01408109896828005,0.9824733824733825,0.014360333362361121,0.995124961431657,0.0013715588257262059,0.9966059858068498,0.0008045914724100914,0.9958897123888129,0.0008050031585282756
root_cause_only,RCL,LightGBM,5,7.130989408493042,0.07649603087293098,,,,,,,,,,,0.9632427118226786,0.006809238140971266,0.6811952925653191,0.06909032526022262,0.9945945945945945,0.010810810810810787,1.0,0.0,1.0,0.0,0.997562538148917,0.0008286394525295098,0.9976854242918451,0.0008962146487200682,0.9904761904761905,0.019047619047619067,1.0,0.0,0.9875,0.024999999999999998,0.9834130781499202,0.021506868045980967,0.9951866707806232,0.0012280005394713044,0.9962357297130515,0.0007143373590120665,0.9957192798366906,0.0008263743121597948
