,precision,recall,f1-score,support
[access permission denied exception],1.0,0.3333333333333333,0.5,3.0
[file moving program],1.0,1.0,1.0,12.0
[login failure],1.0,0.9996776273372018,0.999838787683379,3102.0
[memory_anomalies],0.9291338582677166,1.0,0.963265306122449,118.0
[normal memory freed label],0.0,0.0,0.0,6.0
accuracy,0.9972230792965134,0.9972230792965134,0.9972230792965134,0.9972230792965134
macro avg,0.7858267716535433,0.666602192134107,0.6926208187611655,3241.0
weighted avg,0.995568588483675,0.9972230792965134,0.9961941454848166,3241.0
