,precision,recall,f1-score,support
[access permission denied exception],0.75,1.0,0.8571428571428571,3.0
[file moving program],1.0,1.0,1.0,6.0
[login failure],1.0,1.0,1.0,3101.0
[memory_anomalies],0.9827586206896551,0.890625,0.9344262295081966,128.0
[normal memory freed label],0.0,0.0,0.0,3.0
accuracy,0.9947547053378587,0.9947547053378587,0.9947547053378587,0.9947547053378587
macro avg,0.746551724137931,0.778125,0.7583138173302107,3241.0
weighted avg,0.9981620189596655,0.9947547053378587,0.9963523560470465,3241.0
