,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],3,0,0,0,0
[file moving program],1,10,1,0,0
[login failure],0,0,3101,0,1
[memory_anomalies],0,0,2,115,1
[normal memory freed label],0,0,0,6,0
