,precision,recall,f1-score,support
[access permission denied exception],1.0,1.0,1.0,4.0
[file moving program],0.8333333333333334,1.0,0.9090909090909091,5.0
[login failure],0.9996763754045307,1.0,0.9998381615148082,3089.0
[memory_anomalies],0.9716312056737588,0.9856115107913669,0.9785714285714285,139.0
[normal memory freed label],0.0,0.0,0.0,4.0
accuracy,0.9981487195310089,0.9981487195310089,0.9981487195310089,0.9981487195310089
macro avg,0.7609281828823246,0.7971223021582734,0.7775000998354292,3241.0
weighted avg,0.9969835630607573,0.9981487195310089,0.9975522875767127,3241.0
