,dbservice1,dbservice2,logservice1,logservice2,mobservice1,mobservice2,redisservice1,redisservice2,webservice1,webservice2
dbservice1,4,1,5,0,0,0,2,0,2,1
dbservice2,3,4,5,1,0,0,2,2,1,2
logservice1,4,4,0,0,0,0,1,1,3,1
logservice2,4,3,3,0,0,0,1,0,0,2
mobservice1,2,2,1,0,1383,170,0,0,3,2
mobservice2,1,3,4,3,181,1353,3,3,6,2
redisservice1,1,4,1,1,0,0,1,0,2,1
redisservice2,1,2,2,2,0,0,3,1,1,0
webservice1,1,2,0,0,0,0,1,1,10,2
webservice2,3,3,1,0,0,0,1,0,3,6
