modality,wins,median_top1_lift,mean_top1_lift,match_rcl_pred_pct
metric,72,1.4770594239234924,1.5102356632149025,15.495217525455107
trace,8893,2.357081174850464,2.4163704677721998,30.114162295587782
log,7240,2.3175981640815735,2.2252222690334733,2.3141005862388155
