,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],4,0,0,0,0
[file moving program],0,4,1,0,0
[login failure],0,0,3089,0,0
[memory_anomalies],0,0,1,138,0
[normal memory freed label],0,0,0,4,0
