,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],0,2,0,13,0
[file moving program],0,26,1,0,0
[login failure],0,0,455,3,0
[memory_anomalies],0,0,2,418,6
[normal memory freed label],0,0,0,12,1
