,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],3,0,0,0,0
[file moving program],0,12,0,0,0
[login failure],0,0,3102,0,0
[memory_anomalies],2,0,0,116,0
[normal memory freed label],0,0,0,6,0
