,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],3,0,0,0,0
[file moving program],0,11,0,2,0
[login failure],0,1,3086,0,0
[memory_anomalies],0,0,0,136,0
[normal memory freed label],0,0,0,2,0
