,precision,recall,f1-score,support
[access permission denied exception],0.75,1.0,0.8571428571428571,3.0
[file moving program],0.9285714285714286,1.0,0.962962962962963,13.0
[login failure],1.0,1.0,1.0,3087.0
[memory_anomalies],0.983739837398374,0.8897058823529411,0.9343629343629343,136.0
[normal memory freed label],0.0,0.0,0.0,2.0
accuracy,0.9947547053378587,0.9947547053378587,0.9947547053378587,0.9947547053378587
macro avg,0.7324622531939606,0.7779411764705882,0.7508937508937509,3241.0
weighted avg,0.998182674007284,0.9947547053378587,0.996347826647117,3241.0
