,dbservice1,dbservice2,logservice1,logservice2,mobservice1,mobservice2,redisservice1,redisservice2,webservice1,webservice2
dbservice1,5,2,10,0,0,1,7,44,0,0
dbservice2,6,1,12,0,0,3,1,55,8,1
logservice1,2,2,7,0,0,1,4,38,0,1
logservice2,6,2,6,0,0,1,2,33,1,0
mobservice1,1,11,21,0,5841,682,4,45,3,18
mobservice2,7,67,27,0,662,5826,5,41,0,2
redisservice1,2,3,5,0,0,0,4,33,0,0
redisservice2,4,1,6,1,0,1,5,29,0,1
webservice1,1,3,10,0,0,2,6,52,2,2
webservice2,1,3,6,0,0,0,10,47,6,3
