,dbservice1,dbservice2,logservice1,logservice2,mobservice1,mobservice2,redisservice1,redisservice2,webservice1,webservice2
dbservice1,5,21,15,0,3,1,8,0,3,13
dbservice2,7,26,5,0,2,3,18,0,3,23
logservice1,5,18,10,0,1,0,9,0,0,12
logservice2,4,14,2,0,1,1,16,0,3,10
mobservice1,12,36,13,0,4413,2110,8,0,8,26
mobservice2,8,103,10,0,330,6151,11,0,3,21
redisservice1,2,12,6,0,2,0,11,0,1,13
redisservice2,3,18,2,0,1,1,12,0,1,10
webservice1,8,23,13,0,1,2,14,0,1,16
webservice2,8,30,12,0,1,0,3,0,4,18
