,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],0,2,13,0,0
[file moving program],0,25,5,4,3
[login failure],0,45,12838,244,16
[memory_anomalies],0,245,43,275,1
[normal memory freed label],0,6,1,8,0
