,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],15,0,0,0,0
[file moving program],37,0,0,0,0
[login failure],13143,0,0,0,0
[memory_anomalies],564,0,0,0,0
[normal memory freed label],15,0,0,0,0
