,precision,recall,f1-score,support
dbservice1,0.23076923076923078,0.15789473684210525,0.18749999999999997,19.0
dbservice2,0.23529411764705882,0.16666666666666666,0.19512195121951217,24.0
logservice1,0.25,0.2,0.22222222222222224,10.0
logservice2,0.0625,0.1,0.07692307692307693,10.0
mobservice1,0.9038208168642952,0.875,0.8891769280622165,1568.0
mobservice2,0.8826086956521739,0.9144144144144144,0.8982300884955753,1554.0
redisservice1,0.2222222222222222,0.16666666666666666,0.1904761904761905,12.0
redisservice2,0.08333333333333333,0.125,0.1,8.0
webservice1,0.12,0.15789473684210525,0.13636363636363635,19.0
webservice2,0.23076923076923078,0.17647058823529413,0.20000000000000004,17.0
accuracy,0.8676334464671398,0.8676334464671398,0.8676334464671398,0.8676334464671398
macro avg,0.32213176472575455,0.3040007809667252,0.30960140937624303,3241.0
weighted avg,0.8674662259645939,0.8676334464671398,0.867137452613707,3241.0
