,precision,recall,f1-score,support
[access permission denied exception],1.0,0.6666666666666666,0.8,3.0
[file moving program],1.0,0.8888888888888888,0.9411764705882353,9.0
[login failure],1.0,1.0,1.0,3096.0
[memory_anomalies],0.9629629629629629,1.0,0.9811320754716981,130.0
[normal memory freed label],0.0,0.0,0.0,3.0
accuracy,0.9984572662758407,0.9984572662758407,0.9984572662758407,0.9984572662758407
macro avg,0.7925925925925925,0.711111111111111,0.7444617092119866,3241.0
weighted avg,0.9975887643274253,0.9984572662758407,0.9979690706715875,3241.0
