,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],0,1,0,14,0
[file moving program],0,1,6,29,1
[login failure],0,15,12671,457,0
[memory_anomalies],0,12,3,547,2
[normal memory freed label],0,0,1,14,0
