,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],3,0,0,0,0
[file moving program],0,8,0,0,0
[login failure],0,0,3096,0,0
[memory_anomalies],0,0,0,130,1
[normal memory freed label],0,0,0,3,0
