,dbservice1,dbservice2,logservice1,logservice2,mobservice1,mobservice2,redisservice1,redisservice2,webservice1,webservice2
dbservice1,3,2,2,1,0,1,13,18,3,26
dbservice2,4,4,5,2,2,3,9,27,4,27
logservice1,1,2,5,1,1,1,8,11,7,18
logservice2,1,3,1,0,1,1,12,14,1,17
mobservice1,143,3,6,3,5654,771,7,16,5,18
mobservice2,146,1,4,0,507,5931,13,14,6,15
redisservice1,3,4,3,0,0,1,8,11,5,12
redisservice2,2,2,4,1,0,5,3,12,3,16
webservice1,3,4,5,0,1,5,12,15,4,29
webservice2,1,3,4,1,0,4,10,20,8,25
