,dbservice1,dbservice2,logservice1,logservice2,mobservice1,mobservice2,redisservice1,redisservice2,webservice1,webservice2
dbservice1,3,3,4,6,5,16,5,12,1,14
dbservice2,6,3,7,3,6,27,3,14,2,16
logservice1,4,2,5,6,2,12,2,13,3,6
logservice2,9,6,2,0,5,10,3,7,2,7
mobservice1,6,2,11,4,5685,892,4,13,3,6
mobservice2,9,3,6,2,524,6060,7,14,6,6
redisservice1,3,1,9,1,6,7,3,7,2,8
redisservice2,4,2,8,0,2,9,1,7,4,11
webservice1,5,4,6,5,8,14,3,13,4,16
webservice2,2,4,6,6,5,7,11,18,3,14
