,precision,recall,f1-score,support
dbservice1,0.125,0.1875,0.15,16.0
dbservice2,0.0,0.0,0.0,19.0
logservice1,0.058823529411764705,0.07692307692307693,0.06666666666666667,13.0
logservice2,0.15384615384615385,0.15384615384615385,0.15384615384615385,13.0
mobservice1,0.8659611992945326,0.9418158567774936,0.9022970903522204,1564.0
mobservice2,0.9427753934191703,0.8454137267479154,0.8914440311126143,1559.0
redisservice1,0.0,0.0,0.0,11.0
redisservice2,0.1111111111111111,0.09090909090909091,0.09999999999999999,11.0
webservice1,0.18181818181818182,0.35294117647058826,0.24000000000000002,17.0
webservice2,0.23529411764705882,0.2222222222222222,0.22857142857142856,18.0
accuracy,0.8663992594878124,0.8663992594878124,0.8663992594878124,0.8663992594878124
macro avg,0.2674629686547973,0.2871571303896541,0.2732825370549084,3241.0
weighted avg,0.8754900602746889,0.8663992594878124,0.8687179408196207,3241.0
