,precision,recall,f1-score,support
[access permission denied exception],0.5,0.5,0.5,2.0
[file moving program],1.0,1.0,1.0,7.0
[login failure],0.9996774193548387,1.0,0.9998386836586547,3099.0
[memory_anomalies],0.9770992366412213,0.9770992366412213,0.9770992366412213,131.0
[normal memory freed label],0.0,0.0,0.0,2.0
accuracy,0.9981487195310089,0.9981487195310089,0.9981487195310089,0.9981487195310089
macro avg,0.695355331199212,0.6954198473282442,0.6953875840599751,3241.0
weighted avg,0.997840272317385,0.9981487195310089,0.9979944710454092,3241.0
