,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],3,0,0,0,0
[file moving program],0,12,0,0,0
[login failure],0,0,3101,1,0
[memory_anomalies],1,0,0,117,0
[normal memory freed label],0,0,0,6,0
