,precision,recall,f1-score,support
[access permission denied exception],0.5,0.5,0.5,2.0
[file moving program],1.0,1.0,1.0,7.0
[login failure],1.0,0.9932236205227493,0.9966002914035941,3099.0
[memory_anomalies],0.8905109489051095,0.9312977099236641,0.9104477611940299,131.0
[normal memory freed label],0.0,0.0,0.0,2.0
accuracy,0.9898179574205492,0.9898179574205492,0.9898179574205492,0.9898179574205492
macro avg,0.6781021897810219,0.6849042660892827,0.6814096105195249,3241.0
weighted avg,0.9946488535348872,0.9898179574205492,0.9922039369873977,3241.0
