,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],3,0,0,0,0
[file moving program],0,6,0,0,0
[login failure],1,3,3084,13,0
[memory_anomalies],1,0,0,127,0
[normal memory freed label],0,0,0,3,0
