,[access permission denied exception],[file moving program],[login failure],[memory_anomalies],[normal memory freed label]
[access permission denied exception],3,0,0,1,0
[file moving program],0,5,0,0,0
[login failure],0,1,3082,6,0
[memory_anomalies],1,0,1,133,4
[normal memory freed label],0,0,0,4,0
