,precision,recall,f1-score,support
dbservice1,0.09375,0.2,0.12765957446808512,15.0
dbservice2,0.3181818181818182,0.3684210526315789,0.3414634146341463,19.0
logservice1,0.0,0.0,0.0,14.0
logservice2,0.0,0.0,0.0,13.0
mobservice1,0.8541176470588235,0.9289827255278311,0.8899785473490653,1563.0
mobservice2,0.9292418772563177,0.8255291853752406,0.8743206521739131,1559.0
redisservice1,0.1,0.09090909090909091,0.09523809523809525,11.0
redisservice2,0.10344827586206896,0.25,0.14634146341463414,12.0
webservice1,0.20689655172413793,0.35294117647058826,0.2608695652173913,17.0
webservice2,0.2631578947368421,0.2777777777777778,0.27027027027027023,18.0
accuracy,0.8528232027152114,0.8528232027152114,0.8528232027152114,0.8528232027152114
macro avg,0.28687940648200083,0.32945610086921073,0.3006141582765601,3241.0
weighted avg,0.8644619365430155,0.8528232027152114,0.8560963988963113,3241.0
